claim_id,location,claim,value_reported,evidence_label,artifact,generating_command,status
C1,abstract;results tab:primary,margin full-set inflation,1.244 (1.143 to 1.338),OBSERVED,results/datadecide/tab_primary.csv,seednoise analyze --n-boot 4999 --n-rep 2000,VERIFIED: snap-r0-baseline byte-identical tab_primary; snap-r0-adapter C01 1.243950; snap-r2-grouped wild 1.1429 to 1.3377
C2,abstract;results tab:primary,accuracy full-set inflation,1.078 (0.993 to 1.157),OBSERVED,results/datadecide/tab_primary.csv,seednoise analyze --n-boot 4999 --n-rep 2000,"VERIFIED: 1.078373, wild 0.9926 to 1.1567; recipe-percentile 1.0029 to 1.1550 under-covers (R6)"
C3,results;appendix tab:original10,BoolQ removal inflation,1.786 and 1.558,OBSERVED,unknown (leave-one-trait sweep),unknown,VERIFIED: C01 no-BoolQ original 1.7856 (1.6891 to 1.8765) and 1.5578 (1.4119 to 1.6870) in snap-r2-grouped
C4,appendix B,BoolQ share of accuracy variance trace,84%,OBSERVED,results/datadecide/matrices_accuracy.json,seednoise analyze,"VERIFIED: trace share 0.844 accuracy, 0.679 margin (snap_intervals.py on C01 original)"
C5,results,K_eff margin and accuracy,6.46 and 8.60,OBSERVED,results/datadecide/tab_primary.csv,seednoise analyze,"VERIFIED: 10/1.243950^2 = 6.463, 10/1.078373^2 = 8.599"
C6,appendix tab:original9,N1 to N6 null and sensitivity rows,see table,REPORTED,results/datadecide/tab_nulls.csv,seednoise analyze (nulls),not rerun; 6 h CPU
C7,appendix tab:original14,exhaustive 17-recipe subset sweep,1081575 subsets,REPORTED,unknown,unknown,pending; script not located
C8,appendix,PolyPythias transport 1.40574 and rescore 1.41372,see text,REPORTED,supplement polypythias_jitter,GPU arm 2,GPU rerun needs budget approval
C9,appendix,adjacent-checkpoint 160M check,0.890 and 1.573,REPORTED,supplement jitter_summary.json,jitter_rescore.py,not rerun
C10,appendix,coverage simulation 0.920 to 0.975,see text,OBSERVED,supplement coverage_simulation.py,unknown,"REPLACED by R6 cells a0 to b5: wild coverage 0.928 to 0.954, see research/R6_calibration.md"
C11,results (new),BoolQ passage split changes Lambda by less than split spread,group 1.2475 vs item 1.2456 margin; 1.0971 vs 1.0838 accuracy; 50-split paired mean -0.0002 and -0.0001,OBSERVED,"research/outputs/snap-r2-grouped/SNAP/C01_*,C03_*",snap-r2-grouped kernel,VERIFIED
C12,appendix (new),BoolQ passages recovered from official requests files,"3270 of 3270 exact, 2938 passages, 578 items shared",OBSERVED,research/outputs/snap-r3-requests-audit/requests_audit/requests_audit_report.json,snap-r3-requests-audit v2,VERIFIED
C13,estimator sec;appendix tab:coverage,wild bootstrap coverage across eleven populations,0.928 to 0.954,OBSERVED,research/outputs/snap-r6-calibration-{a,b}/r6_{a,b}/summary.json,snap-r6-calibration-a and -b kernels,VERIFIED
C14,results (new),operational prediction comparison: no covariance model beats independence on held-out variance moment,"margin MSE diag 5.006e-9 vs full 5.030e-9; accuracy 1.722e-9 vs 1.821e-9; all paired 2000-draw intervals include zero",OBSERVED,research/outputs/snap-r8-prediction/SNAP/C07_*/result.json,snap-r8-prediction v2,VERIFIED
C15,results (new),seed-matched pair sd ratio to independence,"median 1.024 margin and 1.081 accuracy; 5th to 95th 0.39 to 1.40 and 0.36 to 1.62; cov>0 in 0.49",OBSERVED,research/outputs/snap-r8-prediction/SNAP/C08_*/result.json,r9_pairs.py then C08 in snap-r8-prediction v2,VERIFIED
C16,references,bui2025 venue and pages; karamcheti checkpoint count; zhou matrix size; bouthillier sentence,"IJCNLP-AACL 2025 short papers pp. 41-46; about 600 listed as 610; size dropped; reworded",OBSERVED,research/R13_literature_audit.md,R13 WebFetch and Crossref checks,VERIFIED
C17,appendix A (new),passage-interaction leak undetectable at any simulated scale,"paired split difference -0.0008 to +0.0022 across tau 0 to 4; leak bound 0.008% of BoolQ diagonal",OBSERVED,research/outputs/snap-r2-group-sim/r2sim/summary.json,snap-r2-group-sim kernel (r2_group_sim.py),VERIFIED
